Year,ENSO,IOD,SAM,RainfallAnomaly
2008,-0.39565217391304347,0.04,0.9458333333333333,-23.398385666666684
2009,0.31211538461538463,0.09423076923076923,0.12000000000000001,-35.20386566666667
2010,-0.6788461538461539,-0.18269230769230768,1.1541666666666666,172.0893943333333
2011,-0.8075,0.215,0.2366666666666667,200.42165433333332
2012,0.0369811320754717,0.2039622641509434,0.8200000000000001,-19.08240566666666
2013,-0.2,-0.03576923076923077,0.2125,-60.68625566666668
2014,0.22807692307692307,-0.11538461538461539,0.5058333333333334,-5.96573566666666
2015,1.425,0.34884615384615386,1.6075,-40.22065566666669
2016,0.00903846153846153,-0.3515384615384615,0.7583333333333333,31.80879433333331
2017,-0.3168,0.124,0.5458333333333333,-10.480935666666653
2018,5.660377358490447e-4,0.09566037735849056,0.7608333333333334,-85.35563566666667
2019,0.2996153846153846,0.7219230769230769,-0.5208333333333334,-209.98467566666667
2020,-0.7371153846153846,0.08192307692307693,0.3783333333333333,15.460794333333297
2021,-0.7769230769230769,-0.31326923076923074,1.1891666666666667,23.367194333333316
2022,-1.0759615384615384,-0.4871153846153846,1.525,101.41969433333327
2023,0.4625,0.7009615384615384,0.7699999999999999,-17.581525666666664
2024,-0.20773584905660378,0.028113207547169814,0.7633333333333333,97.28819433333331
