Scientific name,Threat status,Migratory,Taxonomic group,Total habitat (Ha),Burned habitat (Ha),Proportional burned (%),Unburned habitat (Ha)
Squatter Pigeon (southern subspecies),Vulnerable,No,Aves,27211999,215047,1,26996952.06
Malleefowl,Vulnerable,No,Aves,111594611,1468570,1,110126040.6
Proserpine Rock-wallaby,Endangered,No,Mammalia,46146,629,1,45516.14
Black-flanked Rock-wallaby (MacDonnell Ranges),Endangered,No,Mammalia,567611,3916,1,563694.83
Brush-tailed Bettong (western subspecies),Endangered,No,Mammalia,955330,5639,1,949690.99
Heath Rat,Endangered,No,Mammalia,1338612,6962,1,1331650.48
Eastern Quoll,Endangered,No,Mammalia,1496085,21416,1,1474668.92
Tasmanian Devil,Endangered,No,Mammalia,6433953,33861,1,6400091.7
Swamp Antechinus (swamp population),Vulnerable,No,Mammalia,1259272,6754,1,1252517.75
Water Mouse,Vulnerable,No,Mammalia,2846670,29433,1,2817236.87
Eastern Barred Bandicoot (Tasmanian population),Vulnerable,No,Mammalia,3003560,27263,1,2976296.78
Spot-tailed Quoll (Tasmanian population),Vulnerable,No,Mammalia,5967990,32743,1,5935247.3
Corben's Long-eared Bat,Vulnerable,No,Mammalia,32204359,314397,1,31889961.13
Three-toed Snake-tooth Skink,Vulnerable,No,Reptilia,3605,28,1,3577.33
Queensland Lungfish,Vulnerable,No,Sarcopterygii,69278,398,1,68879.74
